GeneSymbol,log2FoldChange,pvalue,padj
IL32,0.42,0.410108,1.000000
PKD1,0.03,0.860601,1.000000
MAPK8IP2,-0.07,0.908509,1.000000
MED24,-0.06,0.388265,1.000000
RHOBTB2,0.18,0.012522,0.230459
HEATR5B,-0.04,0.642820,1.000000
SEC62,-0.03,0.704264,1.000000
RPS20,0.06,0.606982,1.000000
CSDE1,0.03,0.525171,1.000000
UBE3C,-0.04,0.533545,1.000000
REV3L,-0.07,0.525826,1.000000
TENM1,0.00,1.000000,1.000000
PAX7,,,
MASP2,0.05,0.873440,1.000000
IYD,0.00,1.000000,1.000000
FAM76A,0.14,0.252166,1.000000
TRAF3IP3,0.77,0.000000,0.000000
POMT2,0.06,0.486359,1.000000
VTA1,-0.01,0.894510,1.000000
MLXIPL,1.08,0.000005,0.000259
BAZ1B,0.11,0.087708,0.822366
RANBP9,-0.17,0.014735,0.259975
ETV7,0.53,0.369521,1.000000
SPRTN,0.15,0.025156,0.383913
METTL13,-0.03,0.596661,1.000000
DYRK4,-0.09,0.524341,1.000000
ZNF207,0.05,0.272974,1.000000
UQCRC1,0.46,0.000000,0.000008
STARD3NL,-0.13,0.139463,1.000000
CD9,-0.38,0.000987,0.030888
HHATL,-0.62,0.917250,1.000000
NCAPD2,0.01,0.872982,1.000000
IFFO1,-0.05,0.534631,1.000000
GIPR,0.88,0.002560,0.067445
PHF7,-0.05,0.629959,1.000000
SEMA3G,-0.57,0.000000,0.000004
NISCH,-0.05,0.518743,1.000000
STAB1,-0.36,0.758158,1.000000
FUZ,0.20,0.338387,1.000000
SLC6A13,-0.60,0.447434,1.000000
IDS,0.00,0.989187,1.000000
PRSS3,0.00,1.000000,1.000000
ZNF200,-0.08,0.251402,1.000000
CD4,-0.24,0.000049,0.002209
LRRC23,0.00,0.980929,1.000000
BTK,0.01,0.882220,1.000000
HFE,0.13,0.643487,1.000000
SCMH1,0.02,0.662406,1.000000
FYN,0.11,0.456971,1.000000
HIVEP2,1.21,0.000000,0.000000
FMO1,-0.56,0.187617,1.000000
TCEB3,0.07,0.328005,1.000000
LYPLA2,0.20,0.024352,0.375305
CLCN6,0.02,0.847776,1.000000
MRC2,0.26,0.000001,0.000078
NME1-NME2,,,
SLC6A7,0.00,1.000000,1.000000
TSPAN9,-0.50,0.187002,1.000000
BTBD7,-0.36,0.000189,0.007416
APBA3,0.08,0.434326,1.000000
MKS1,-0.10,0.302820,1.000000
ABHD5,0.00,0.998961,1.000000
ANOS1,-0.05,0.917268,1.000000
AKAP8L,-0.02,0.767558,1.000000
MBTD1,-0.15,0.047972,0.589889
UTP18,0.07,0.297856,1.000000
RNF216,-0.06,0.277188,1.000000
TTC19,0.16,0.049394,0.599497
PTBP1,0.04,0.531423,1.000000
DPF1,-0.04,0.923840,1.000000
SYT7,0.42,0.719217,1.000000
LARS2,0.29,0.000184,0.007222
PIK3C2A,0.19,0.053999,0.632679
PLAUR,0.01,0.948336,1.000000
ANLN,-0.08,0.364531,1.000000
WIZ,-0.04,0.570015,1.000000
RABGAP1,0.00,0.983052,1.000000
DCN,0.10,0.986142,1.000000
QPCTL,-0.09,0.319753,1.000000
PPP5C,-0.05,0.366382,1.000000
CEP68,-0.24,0.014840,0.261467
MAP4K3,0.02,0.828731,1.000000
ZBTB32,1.66,0.066580,0.713699
TYROBP,-0.01,0.934482,1.000000
TMEM159,-0.28,0.057468,0.657314
GABRA3,0.00,1.000000,1.000000
BRCA1,-0.09,0.112534,0.931855
ERCC1,0.02,0.752354,1.000000
CD22,0.77,0.802576,1.000000
SEMA3B,-0.05,0.907167,1.000000
MBTPS2,0.01,0.901326,1.000000
PRICKLE3,0.09,0.397383,1.000000
LTF,-0.62,0.917250,1.000000
EXTL3,0.21,0.001690,0.047791
NR1H4,-0.62,0.917250,1.000000
ELOVL5,0.01,0.798780,1.000000
ALOX5,2.05,0.000000,0.000000
KDM5D,0.04,0.722994,1.000000
CALCOCO1,-0.21,0.032508,0.457601
UBR7,-0.16,0.006440,0.138974
MAP4K5,-0.01,0.862168,1.000000
EHD3,0.00,1.000000,1.000000
PSMC4,0.08,0.162051,1.000000
MAN2B2,-0.06,0.395501,1.000000
SLC7A14,0.00,1.000000,1.000000
CLDN11,0.62,0.830512,1.000000
SLC25A39,0.04,0.544697,1.000000
MVP,0.31,0.000413,0.014664
NUB1,-0.06,0.262599,1.000000
PGM3,-0.08,0.329309,1.000000
RWDD2A,-0.13,0.321538,1.000000
CLK1,0.04,0.709215,1.000000
POLR3B,0.15,0.053951,0.632679
ANGEL1,0.14,0.113236,0.933289
RNF14,0.20,0.008081,0.166849
DNASE1L1,0.21,0.156199,1.000000
DDX11,0.12,0.288711,1.000000
HEBP1,0.07,0.513930,1.000000
GPRC5A,0.82,0.889736,1.000000
MAMLD1,-0.76,0.343581,1.000000
CD6,-0.85,0.000145,0.005908
TACC3,0.06,0.394161,1.000000
UFL1,0.01,0.896864,1.000000
POLA2,-0.10,0.483316,1.000000
ZC3H3,-0.10,0.213079,1.000000
CAPN1,0.10,0.103953,0.895578
ACPP,-0.11,0.345432,1.000000
MDH1,0.21,0.097643,0.867763
SLC30A9,0.01,0.928704,1.000000
MTMR11,0.07,0.472569,1.000000
COX15,-0.01,0.935962,1.000000
CCDC88C,0.17,0.016006,0.276041
YAF2,-0.17,0.081509,0.791736
ZMYND11,-0.01,0.879836,1.000000
WAS,0.03,0.610710,1.000000
DPEP1,-1.11,0.497193,1.000000
BID,0.20,0.034606,0.477456
MATR3,-0.03,0.917029,1.000000
NPC1L1,0.64,0.483177,1.000000
XYLT2,-0.09,0.310663,1.000000
RGPD5,,,
STMN4,0.06,0.992307,1.000000
NUDCD3,-0.04,0.514665,1.000000
ISL1,0.00,0.992022,1.000000
CHDH,-0.62,0.912295,1.000000
IL20RA,-1.63,0.448196,1.000000
CLCA1,,,
CLCA4,,,
GLT8D1,-0.07,0.390356,1.000000
ATP2C1,-0.06,0.223675,1.000000
IGF1,,,
SLC38A5,0.06,0.645962,1.000000
RALBP1,-0.06,0.213766,1.000000
RUFY3,0.13,0.304705,1.000000
CNTN1,-0.62,0.917250,1.000000
SLC11A1,-0.31,0.393455,1.000000
WWTR1,0.83,0.397540,1.000000
AGPS,0.07,0.312494,1.000000
ZNF806,,,
CXorf56,0.08,0.464148,1.000000
ATP1A2,-0.83,0.000000,0.000000
TTC27,-0.03,0.714373,1.000000
ZNF582,0.04,0.882936,1.000000
VSIG2,0.47,0.501650,1.000000
PHLDB1,-0.29,0.012372,0.228487
MARCO,0.72,0.000001,0.000051
CYP24A1,7.00,0.000000,0.000008
PRDM11,0.16,0.279575,1.000000
SYT13,,,
SNAI2,,,
CD74,-0.09,0.212263,1.000000
HGF,-0.02,0.935869,1.000000
ZRANB1,0.17,0.048177,0.590512
NCDN,0.25,0.008609,0.174741
ADGRA2,-0.05,0.532954,1.000000
CCT8L1P,-0.62,0.860217,1.000000
ZFP64,-0.02,0.823263,1.000000
MNAT1,-0.14,0.293262,1.000000
SAMD4A,-1.18,0.040448,0.529261
RUNX3,-0.13,0.070468,0.733617
MRE11A,0.04,0.611363,1.000000
PLEKHB1,0.20,0.635612,1.000000
SERPINB1,0.86,0.000000,0.000000
CYP3A43,0.81,0.891917,1.000000
SLC7A9,0.75,0.789454,1.000000
SPAST,-0.02,0.730928,1.000000
NRXN3,-0.64,0.106785,0.909014
OSBPL5,-0.31,0.000282,0.010526
AQR,0.03,0.640477,1.000000
CPS1,0.09,0.815568,1.000000
C8B,,,
FHL1,0.16,0.618311,1.000000
RTFDC1,0.00,0.991354,1.000000
GABRA1,0.78,0.895876,1.000000
NLRP2,0.09,0.293232,1.000000
SLC45A4,0.86,0.000000,0.000000
RNF10,0.08,0.117418,0.948215
ZNF839,-0.08,0.500142,1.000000
ZDHHC6,0.03,0.695768,1.000000
GRAMD1B,-0.11,0.123762,0.968206
RNH1,-0.03,0.574817,1.000000
NDUFS1,0.25,0.000000,0.000001
RB1CC1,-0.02,0.756867,1.000000
ERP44,-0.02,0.681502,1.000000
ALAS1,0.24,0.000000,0.000000
BIRC3,-0.43,0.175218,1.000000
AKAP11,-0.01,0.919497,1.000000
GLRX2,0.02,0.907532,1.000000
SNAPC1,-0.21,0.119186,0.952528
DERA,-0.10,0.149823,1.000000
STRAP,-0.01,0.819149,1.000000
ABCC2,0.04,0.892446,1.000000
DEF6,0.04,0.516692,1.000000
PLEKHO1,1.13,0.000000,0.000000
GCLM,0.11,0.132208,0.997892
UBR2,0.06,0.416332,1.000000
EHD2,-0.31,0.012162,0.225075
DEPDC1,-0.05,0.578351,1.000000
CCDC28A,-0.23,0.032502,0.457601
RRAGD,0.42,0.000021,0.001034
HSF2,-0.04,0.649825,1.000000
PHF20,-0.04,0.573391,1.000000
HSD17B6,0.24,0.403304,1.000000
NR1H3,-0.25,0.045935,0.575571
TYMP,0.39,0.000862,0.027605
NCAPH2,-0.06,0.347403,1.000000
TOMM34,-0.19,0.036928,0.499393
SEC63,-0.08,0.083424,0.799881
KPNA6,0.08,0.313482,1.000000
VIM,-0.16,0.003218,0.080514
RTEL1-TNFRSF6B,0.12,0.602625,1.000000
FAS,-0.08,0.695191,1.000000
RNASET2,0.10,0.106417,0.907859
CD44,-0.56,0.000014,0.000738
KCNG1,0.21,0.509212,1.000000
AGPAT4,0.37,0.009808,0.193218
SLAMF7,0.31,0.764509,1.000000
BTN3A1,-0.02,0.883768,1.000000
MIPEP,0.17,0.060474,0.676237
PRKCH,0.32,0.340371,1.000000
INSRR,0.82,0.889736,1.000000
IFNGR1,0.27,0.001801,0.050350
B4GALT7,0.00,0.976749,1.000000
SH2D2A,0.35,0.451884,1.000000
VRK2,0.03,0.764257,1.000000
TNFRSF1B,-0.19,0.002474,0.065948
VEZT,-0.04,0.659654,1.000000
POU2F2,-0.40,0.000000,0.000032
BRD9,0.09,0.082101,0.794545
SNX1,0.01,0.714255,1.000000
TBPL1,-0.02,0.819207,1.000000
ARNTL2,-0.15,0.112015,0.930273
BCLAF1,0.02,0.721889,1.000000
SLC39A9,0.05,0.362959,1.000000
ANK1,-0.16,0.207335,1.000000
IBSP,0.00,1.000000,1.000000
TFB1M,0.13,0.162179,1.000000
RABEP1,0.24,0.002407,0.064426
HMGB3,-0.06,0.438172,1.000000
NUP160,-0.06,0.358897,1.000000
BAK1,0.38,0.000002,0.000128
MUSK,0.73,0.836502,1.000000
IKZF2,-0.11,0.679269,1.000000
GRN,0.05,0.438609,1.000000
FAM13B,-0.05,0.539363,1.000000
ARHGAP31,0.19,0.394676,1.000000
CENPQ,-0.15,0.316171,1.000000
SARS,0.18,0.090960,0.838819
RANBP3,0.03,0.549830,1.000000
ARID4A,-0.03,0.685124,1.000000
TSSC1,-0.03,0.734084,1.000000
PNPLA6,0.07,0.309169,1.000000
IFT88,-0.25,0.031368,0.447089
ALG1,0.00,0.988515,1.000000
ZCCHC8,0.08,0.576740,1.000000
ABCF2,0.08,0.464415,1.000000
CHPF2,0.16,0.030157,0.434451
LRRC7,0.20,0.608512,1.000000
FUT8,-0.15,0.052083,0.618930
UBA6,0.08,0.190947,1.000000
GAB2,-0.16,0.126929,0.980187
ATP6V0A1,0.20,0.000124,0.005127
PIAS1,0.12,0.062567,0.689380
SLC4A7,0.20,0.098880,0.872918
APBA2,0.01,0.904650,1.000000
MAP2K3,0.01,0.909748,1.000000
EFCAB1,,,
TMSB10,-0.15,0.135445,1.000000
ASTE1,-0.04,0.726078,1.000000
RNF19A,-0.08,0.200484,1.000000
PEX3,0.12,0.221971,1.000000
GABARAPL2,-0.10,0.221543,1.000000
MYOC,-0.62,0.917250,1.000000
SH3YL1,-0.11,0.198676,1.000000
FAM136A,-0.06,0.448317,1.000000
VCL,0.10,0.260496,1.000000
DEPDC1B,0.05,0.650040,1.000000
DAPK2,2.27,0.001786,0.049979
NSMAF,0.02,0.662953,1.000000
ADSS,0.02,0.733401,1.000000
STAP1,-0.13,0.735775,1.000000
TIMP2,-0.13,0.100810,0.882308
RFC1,-0.04,0.580158,1.000000
TBC1D23,-0.05,0.629984,1.000000
CUL3,0.00,0.938147,1.000000
MYOM2,-0.03,0.952298,1.000000
OTC,,,
CYP46A1,0.66,0.112475,0.931571
ZZZ3,0.08,0.246879,1.000000
SLC18A1,-1.82,0.396468,1.000000
USP2,1.45,0.000000,0.000000
CASR,1.74,0.064544,0.702092
TUBG2,0.11,0.377123,1.000000
RPL26L1,0.04,0.819383,1.000000
FLT4,0.41,0.816394,1.000000
NSUN2,0.03,0.572667,1.000000
FBXO42,0.06,0.359386,1.000000
MFAP3,0.12,0.190087,1.000000
MRI1,0.04,0.734671,1.000000
METTL1,-0.06,0.534876,1.000000
HOXC8,-1.80,0.142753,1.000000
AGA,0.02,0.878298,1.000000
PI4K2B,-0.06,0.470092,1.000000
BOD1L1,-0.01,0.944789,1.000000
MAT2B,-0.09,0.240632,1.000000
TLL1,,,
EDC4,0.02,0.702001,1.000000
TRIO,1.26,0.000000,0.000000
VCAN,0.65,0.147678,1.000000
CLEC16A,0.04,0.615164,1.000000
MSR1,-0.62,0.917250,1.000000
CDH1,0.10,0.966441,1.000000
SKIV2L2,0.05,0.439578,1.000000
DNAH5,0.00,1.000000,1.000000
ZFYVE16,0.24,0.006076,0.133187
FAM65A,0.03,0.702614,1.000000
C6,-0.62,0.917250,1.000000
RAI14,0.09,0.567225,1.000000
SOX30,0.00,1.000000,1.000000
PNKP,0.02,0.777953,1.000000
BEST2,1.47,0.804961,1.000000
PHLPP2,0.10,0.410063,1.000000
SPDL1,0.02,0.851580,1.000000
STAU2,-0.07,0.263039,1.000000
PQLC2,0.34,0.000009,0.000465
CTNS,0.12,0.274886,1.000000
RTN4R,-0.81,0.000399,0.014236
PHF23,0.09,0.232079,1.000000
CDH10,0.10,0.983650,1.000000
INPP4A,0.12,0.082324,0.795262
RAB27B,,,
PSMA4,0.19,0.131138,0.995413
MYO16,0.88,0.346665,1.000000
LSG1,0.11,0.040010,0.526284
PARP3,0.30,0.045798,0.574446
TNC,1.62,0.221815,1.000000
THAP3,0.15,0.274110,1.000000
FAM65C,1.32,0.234554,1.000000
TDP1,-0.11,0.084055,0.804190
AIFM2,0.49,0.000057,0.002537
C2orf83,,,
SPATA7,-0.20,0.170069,1.000000
MED17,-0.21,0.298060,1.000000
RETSAT,0.31,0.012876,0.234448
CAPG,-0.26,0.002253,0.061126
AP2S1,0.00,0.980449,1.000000
USH2A,1.05,0.539080,1.000000
ZPBP,,,
TG,0.14,0.842711,1.000000
ADAM28,5.31,0.000000,0.000001
BARX2,0.82,0.889736,1.000000
DCUN1D1,0.00,0.975075,1.000000
JADE2,-0.59,0.000000,0.000000
ZIC2,-0.23,0.000010,0.000551
LCP2,0.39,0.000000,0.000000
TRIT1,0.08,0.173343,1.000000
ADRB1,-0.05,0.754387,1.000000
GUCA2B,,,
CUL7,-0.10,0.181714,1.000000
CTNNA1,0.08,0.098470,0.871664
PHKA2,0.01,0.958147,1.000000
CNTLN,-0.08,0.256003,1.000000
EPHA3,-0.81,0.610205,1.000000
HSPA5,-0.06,0.457496,1.000000
DSG2,-0.98,0.024095,0.372268
GEMIN8,-0.07,0.473321,1.000000
OFD1,0.08,0.247959,1.000000
GPM6B,-0.14,0.072198,0.741166
MAGEC2,,,
PREX2,0.00,1.000000,1.000000
WDR37,0.12,0.128394,0.984953
YTHDC2,-0.05,0.532092,1.000000
CTPS2,-0.03,0.660080,1.000000
ATP6V1H,0.08,0.304108,1.000000
POLR2B,0.03,0.571885,1.000000
FAM214A,-0.07,0.603433,1.000000
ARAP2,0.03,0.879754,1.000000
TPR,0.02,0.750107,1.000000
CP,-0.11,0.927254,1.000000
KIAA0556,0.09,0.350460,1.000000
DTNBP1,0.04,0.713618,1.000000
XK,-0.33,0.002341,0.063068
ANO2,0.82,0.889736,1.000000
C12orf4,-0.03,0.783365,1.000000
SCML1,-0.40,0.326266,1.000000
WWC3,-0.35,0.325491,1.000000
ARHGAP6,-0.65,0.778025,1.000000
FAM184B,-0.05,0.941233,1.000000
MAP4,0.05,0.582303,1.000000
GOPC,0.17,0.015160,0.265845
ROS1,0.75,0.000000,0.000000
USP28,0.00,0.966814,1.000000
HDAC9,-0.21,0.071528,0.739067
TSPAN17,0.05,0.579246,1.000000
NOP16,0.23,0.012852,0.234448
CC2D2A,-0.43,0.414071,1.000000
RRM2B,-0.16,0.043217,0.553800
ZNF800,0.07,0.392461,1.000000
TNFRSF17,0.00,1.000000,1.000000
SNX29,0.20,0.073252,0.746806
LMO3,0.90,0.460119,1.000000
MRPS10,0.06,0.420375,1.000000
GUCA1A,,,
RSF1,-0.07,0.394613,1.000000
VPS13D,0.03,0.803137,1.000000
CELF2,-0.09,0.188514,1.000000
FAM120A,0.18,0.004741,0.109297
R3HDM1,0.00,0.969066,1.000000
COL9A2,-0.37,0.000000,0.000033
KITLG,-0.21,0.043364,0.555231
ERCC8,0.10,0.450464,1.000000
ADAMTS6,-0.20,0.761403,1.000000
H6PD,-0.14,0.043691,0.558075
VAMP3,0.08,0.337012,1.000000
PER3,0.08,0.687129,1.000000
UTS2,-0.06,0.719728,1.000000
TNFRSF9,0.97,0.447759,1.000000
EPN3,0.10,0.968850,1.000000
LTBP1,-0.97,0.280169,1.000000
RCN1,-0.06,0.646582,1.000000
ELN,0.82,0.865097,1.000000
RFC2,-0.05,0.445385,1.000000
ARID1B,0.17,0.044200,0.562091
CLPTM1L,-0.04,0.666876,1.000000
NEDD4L,-0.11,0.608792,1.000000
FOXP3,0.38,0.555878,1.000000
PPP1R3F,0.09,0.669461,1.000000
HEXB,-0.06,0.391758,1.000000
PTCD2,-0.19,0.092388,0.845639
KIAA2022,-0.62,0.846307,1.000000
JKAMP,0.03,0.839878,1.000000
DKK3,0.24,0.930675,1.000000
ARHGEF5,0.52,0.328895,1.000000
NFE2L3,-0.52,0.000006,0.000334
MCUR1,-0.10,0.132074,0.997401
LIMA1,-0.08,0.254184,1.000000
LETMD1,0.17,0.061826,0.684153
SLC4A8,0.26,0.390050,1.000000
LAMC3,1.30,0.047976,0.589889
PTGER3,0.82,0.889736,1.000000
TNIP3,-1.03,0.555592,1.000000
MAPK9,0.14,0.003833,0.092744
COL23A1,-0.04,0.629739,1.000000
BCAR1,0.02,0.835834,1.000000
FAM160A2,0.15,0.065672,0.708402
HERPUD1,0.11,0.551282,1.000000
HOMER3,-0.04,0.617174,1.000000
RAD51,-0.17,0.009874,0.194230
POLQ,-0.04,0.618240,1.000000
PIK3CB,-0.14,0.022498,0.354799
CYBA,0.06,0.504132,1.000000
THOC3,0.01,0.966279,1.000000
HEBP2,-0.24,0.000835,0.026976
MPHOSPH9,-0.04,0.575802,1.000000
PLEKHA5,-0.18,0.217953,1.000000
PRSS8,-0.32,0.702760,1.000000
SIKE1,0.11,0.033944,0.472410
RRP12,0.10,0.224173,1.000000
FNIP2,0.16,0.223351,1.000000
MSMO1,-0.04,0.591568,1.000000
TTC17,0.02,0.768032,1.000000
ALX4,0.17,0.612121,1.000000
FSTL4,0.82,0.889736,1.000000
FOXN3,0.22,0.015518,0.270370
